ID,Acción,Tiempo_estimado_min,Requiere_insumo,Prioridad,Acción_previa
1060,Control de calidad,26,No,Alta,Ensamblar marco
1061,Ensamblar marco,53,No,Alta,Instalar ruedas
1062,Ajuste frenos,24,No,Media,Ajuste frenos
1063,Control de calidad,57,Sí,Alta,Ensamblar marco
1064,Ajuste frenos,39,Sí,Alta,Instalar ruedas
1065,Control de calidad,30,No,Media,Instalar ruedas
1066,Ajuste frenos,37,Sí,Alta,Pintar
1067,Ajuste frenos,19,No,Alta,Ajuste frenos
1068,Ajuste frenos,38,No,Baja,Ajuste frenos
1069,Ajuste frenos,56,No,Media,Ajuste frenos
1070,Ajuste frenos,24,No,Baja,Ajuste frenos
1071,Instalar ruedas,59,No,Baja,Ajuste frenos
1072,Ajuste frenos,20,No,Baja,Instalar ruedas
1073,Ensamblar marco,20,Sí,Media,Control de calidad
1074,Ajuste frenos,56,No,Baja,Ajuste frenos
1075,Ajuste frenos,45,Sí,Baja,Control de calidad
1076,Ajuste frenos,46,Sí,Alta,Ajuste frenos
1077,Instalar ruedas,41,No,Alta,Instalar ruedas
1078,Control de calidad,54,No,Baja,Ensamblar marco
1079,Pintar,21,Sí,Media,Control de calidad
1080,Control de calidad,15,Sí,Alta,Instalar ruedas
1081,Instalar ruedas,16,Sí,Alta,Instalar ruedas
1082,Ensamblar marco,51,No,Media,Pintar
1083,Pintar,46,No,Media,Control de calidad
1084,Ensamblar marco,34,Sí,Media,Pintar
1085,Pintar,12,No,Baja,Pintar
1086,Ajuste frenos,39,No,Media,Control de calidad
1087,Pintar,45,No,Baja,Control de calidad
1088,Instalar ruedas,10,No,Media,Control de calidad
1089,Pintar,10,No,Baja,Ajuste frenos
1090,Instalar ruedas,58,Sí,Media,Control de calidad
1091,Instalar ruedas,17,Sí,Baja,Pintar
1092,Pintar,32,Sí,Baja,Ensamblar marco
1093,Pintar,38,Sí,Alta,Ajuste frenos
1094,Pintar,26,Sí,Alta,Instalar ruedas
1095,Instalar ruedas,37,Sí,Baja,Instalar ruedas
1096,Pintar,27,Sí,Alta,Control de calidad
1097,Pintar,24,No,Media,Control de calidad
1098,Ensamblar marco,12,Sí,Baja,Pintar
1099,Pintar,13,Sí,Baja,Ajuste frenos
1100,Pintar,48,No,Alta,Pintar
1101,Pintar,12,No,Alta,Instalar ruedas
1102,Pintar,56,No,Baja,Ensamblar marco
1103,Instalar ruedas,44,No,Media,Pintar
1104,Instalar ruedas,33,Sí,Media,Pintar
1105,Control de calidad,26,No,Media,Ajuste frenos
1106,Ensamblar marco,57,No,Media,Ajuste frenos
1107,Instalar ruedas,18,No,Baja,Ensamblar marco
1108,Ensamblar marco,16,Sí,Baja,Pintar
1109,Instalar ruedas,36,Sí,Baja,Control de calidad
1110,Instalar ruedas,29,No,Alta,Ajuste frenos
1111,Instalar ruedas,10,Sí,Media,Control de calidad
1112,Ajuste frenos,57,Sí,Alta,Ajuste frenos
1113,Ajuste frenos,51,Sí,Media,Instalar ruedas
1114,Ajuste frenos,41,Sí,Baja,Instalar ruedas
1115,Ajuste frenos,51,No,Media,Pintar
1116,Instalar ruedas,15,No,Media,Ajuste frenos
1117,Instalar ruedas,36,No,Alta,Instalar ruedas
1118,Pintar,59,Sí,Baja,Ensamblar marco
1119,Control de calidad,42,No,Baja,Ensamblar marco
1120,Control de calidad,14,Sí,Media,Pintar
1121,Instalar ruedas,27,No,Alta,Control de calidad
1122,Control de calidad,13,Sí,Alta,Ajuste frenos
1123,Instalar ruedas,51,No,Alta,Pintar
1124,Pintar,43,Sí,Media,Instalar ruedas
1125,Control de calidad,27,Sí,Baja,Pintar
1126,Instalar ruedas,14,No,Baja,Pintar
1127,Control de calidad,36,Sí,Media,Ajuste frenos
1128,Instalar ruedas,55,No,Baja,Pintar
1129,Ensamblar marco,48,No,Media,Instalar ruedas
1130,Ajuste frenos,22,Sí,Media,Control de calidad
1131,Ensamblar marco,29,Sí,Alta,Control de calidad
1132,Control de calidad,37,Sí,Baja,Instalar ruedas
1133,Ajuste frenos,44,Sí,Media,Control de calidad
1134,Ensamblar marco,14,Sí,Alta,Instalar ruedas
1135,Pintar,20,Sí,Baja,Control de calidad
1136,Ajuste frenos,12,Sí,Media,Ensamblar marco
1137,Pintar,57,No,Media,Ajuste frenos
1138,Control de calidad,46,No,Baja,Control de calidad
1139,Ensamblar marco,10,Sí,Alta,Ensamblar marco
1140,Instalar ruedas,48,Sí,Media,Instalar ruedas
1141,Ajuste frenos,32,No,Baja,Ajuste frenos
1142,Ensamblar marco,33,Sí,Baja,Ensamblar marco
1143,Ensamblar marco,30,Sí,Baja,Ensamblar marco
1144,Control de calidad,14,No,Alta,Ajuste frenos
1145,Control de calidad,47,No,Alta,Ajuste frenos
1146,Control de calidad,20,No,Baja,Ajuste frenos
1147,Instalar ruedas,23,No,Baja,Ensamblar marco
1148,Pintar,32,No,Baja,Instalar ruedas
1149,Ajuste frenos,40,No,Baja,Pintar
1150,Instalar ruedas,16,Sí,Alta,Ensamblar marco
1151,Control de calidad,49,Sí,Media,Pintar
1152,Pintar,46,Sí,Media,Ensamblar marco
1153,Instalar ruedas,15,No,Baja,Pintar
1154,Ensamblar marco,37,No,Media,Pintar
1155,Ensamblar marco,12,Sí,Baja,Ajuste frenos
1156,Pintar,56,No,Baja,Ensamblar marco
1157,Pintar,23,Sí,Media,Instalar ruedas
1158,Instalar ruedas,26,No,Baja,Ensamblar marco
1159,Control de calidad,29,No,Baja,Instalar ruedas
1160,Ajuste frenos,54,No,Alta,Control de calidad
1161,Ensamblar marco,51,No,Baja,Pintar
1162,Ensamblar marco,17,Sí,Alta,Ensamblar marco
1163,Pintar,17,No,Alta,Pintar
1164,Instalar ruedas,55,No,Media,Ensamblar marco
1165,Control de calidad,25,Sí,Baja,Control de calidad
1166,Ajuste frenos,10,Sí,Media,Ensamblar marco
1167,Control de calidad,42,No,Alta,Pintar
1168,Pintar,42,No,Baja,Ajuste frenos
1169,Pintar,30,Sí,Media,Ajuste frenos
1170,Instalar ruedas,49,Sí,Alta,Control de calidad
1171,Control de calidad,32,No,Alta,Instalar ruedas
1172,Instalar ruedas,49,Sí,Media,Ajuste frenos
1173,Ensamblar marco,27,No,Media,Pintar
1174,Instalar ruedas,38,No,Baja,Instalar ruedas
1175,Ensamblar marco,22,Sí,Media,Ajuste frenos
1176,Ajuste frenos,33,Sí,Alta,Control de calidad
1177,Control de calidad,25,Sí,Alta,Ensamblar marco
1178,Control de calidad,54,Sí,Media,Ensamblar marco
1179,Pintar,12,No,Baja,Ensamblar marco
1180,Pintar,32,No,Alta,Instalar ruedas
1181,Instalar ruedas,24,Sí,Baja,Instalar ruedas
1182,Control de calidad,20,Sí,Alta,Instalar ruedas
1183,Control de calidad,51,Sí,Baja,Pintar
1184,Instalar ruedas,40,No,Baja,Pintar
1185,Ensamblar marco,37,Sí,Alta,Ajuste frenos
1186,Instalar ruedas,17,Sí,Media,Instalar ruedas
1187,Instalar ruedas,47,No,Media,Instalar ruedas
1188,Ensamblar marco,40,Sí,Alta,Ensamblar marco
1189,Ajuste frenos,14,No,Alta,Ajuste frenos
1190,Pintar,44,No,Media,Ajuste frenos
1191,Pintar,49,No,Alta,Control de calidad
1192,Pintar,50,Sí,Baja,Instalar ruedas
1193,Instalar ruedas,37,No,Baja,Pintar
1194,Control de calidad,34,No,Media,Instalar ruedas
1195,Ajuste frenos,30,Sí,Media,Ajuste frenos
1196,Ajuste frenos,24,Sí,Media,Ensamblar marco
1197,Control de calidad,36,Sí,Baja,Ensamblar marco
1198,Ajuste frenos,27,No,Baja,Pintar
1199,Pintar,22,Sí,Media,Ajuste frenos
1200,Instalar ruedas,54,Sí,Alta,Instalar ruedas
1201,Control de calidad,29,No,Media,Control de calidad
1202,Control de calidad,41,No,Alta,Instalar ruedas
1203,Ensamblar marco,10,Sí,Media,Ajuste frenos
1204,Ensamblar marco,25,No,Alta,Control de calidad
1205,Control de calidad,38,Sí,Baja,Instalar ruedas
1206,Instalar ruedas,35,Sí,Media,Ajuste frenos
1207,Control de calidad,47,No,Alta,Control de calidad
1208,Ajuste frenos,17,No,Alta,Ajuste frenos
1209,Instalar ruedas,28,Sí,Media,Instalar ruedas
1210,Ajuste frenos,31,Sí,Baja,Pintar
1211,Instalar ruedas,23,No,Media,Pintar
1212,Ensamblar marco,26,No,Media,Ajuste frenos
1213,Ensamblar marco,58,No,Alta,Control de calidad
1214,Ajuste frenos,35,Sí,Media,Control de calidad
1215,Instalar ruedas,14,Sí,Baja,Pintar
1216,Pintar,55,Sí,Baja,Ajuste frenos
1217,Ensamblar marco,52,No,Alta,Ensamblar marco
1218,Instalar ruedas,21,Sí,Media,Control de calidad
1219,Pintar,22,No,Alta,Control de calidad
1220,Control de calidad,49,No,Baja,Pintar
1221,Ajuste frenos,11,Sí,Media,Instalar ruedas
1222,Ensamblar marco,33,Sí,Media,Ensamblar marco
1223,Control de calidad,34,Sí,Media,Control de calidad
1224,Ajuste frenos,51,No,Alta,Ajuste frenos
1225,Instalar ruedas,34,No,Media,Ajuste frenos
1226,Pintar,34,Sí,Alta,Ajuste frenos
1227,Control de calidad,10,Sí,Alta,Control de calidad
1228,Ensamblar marco,24,Sí,Alta,Pintar
1229,Ajuste frenos,46,Sí,Alta,Instalar ruedas
1230,Ensamblar marco,38,No,Baja,Pintar
1231,Ajuste frenos,30,Sí,Baja,Instalar ruedas
1232,Ajuste frenos,41,No,Alta,Ensamblar marco
1233,Ensamblar marco,51,Sí,Media,Ajuste frenos
1234,Instalar ruedas,30,No,Media,Control de calidad
1235,Control de calidad,14,No,Media,Instalar ruedas
1236,Ajuste frenos,50,Sí,Alta,Instalar ruedas
1237,Ajuste frenos,44,No,Media,Control de calidad
1238,Control de calidad,41,No,Alta,Ensamblar marco
1239,Ajuste frenos,40,No,Alta,Ajuste frenos
1240,Control de calidad,41,Sí,Baja,Control de calidad
1241,Control de calidad,21,Sí,Media,Ensamblar marco
1242,Instalar ruedas,38,Sí,Media,Control de calidad
1243,Ensamblar marco,41,No,Media,Pintar
1244,Pintar,46,No,Media,Instalar ruedas
1245,Pintar,22,No,Media,Control de calidad
1246,Ajuste frenos,43,No,Alta,Control de calidad
1247,Ensamblar marco,52,Sí,Alta,Ajuste frenos
1248,Ajuste frenos,13,No,Media,Instalar ruedas
1249,Ensamblar marco,16,Sí,Media,Control de calidad
1250,Ensamblar marco,22,No,Alta,Pintar
1251,Ensamblar marco,53,Sí,Alta,Control de calidad
1252,Control de calidad,49,No,Alta,Pintar
1253,Instalar ruedas,10,Sí,Baja,Ajuste frenos
1254,Ajuste frenos,13,No,Baja,Control de calidad
1255,Instalar ruedas,20,Sí,Alta,Ajuste frenos
1256,Ensamblar marco,52,Sí,Alta,Instalar ruedas
1257,Control de calidad,33,Sí,Baja,Pintar
1258,Control de calidad,26,No,Media,Pintar
1259,Pintar,48,Sí,Baja,Ajuste frenos
1260,Instalar ruedas,10,No,Baja,Ensamblar marco
1261,Control de calidad,24,No,Media,Ajuste frenos
1262,Instalar ruedas,41,No,Alta,Ensamblar marco
1263,Ensamblar marco,57,Sí,Alta,Instalar ruedas
1264,Pintar,40,No,Media,Ajuste frenos
1265,Pintar,26,Sí,Media,Control de calidad
1266,Ensamblar marco,14,No,Alta,Ajuste frenos
1267,Instalar ruedas,29,Sí,Baja,Ajuste frenos
1268,Ajuste frenos,52,No,Baja,Control de calidad
1269,Instalar ruedas,13,Sí,Alta,Ensamblar marco
1270,Ensamblar marco,53,Sí,Baja,Instalar ruedas
1271,Pintar,43,No,Baja,Pintar
1272,Ensamblar marco,30,Sí,Media,Control de calidad
1273,Instalar ruedas,21,No,Media,Instalar ruedas
1274,Ensamblar marco,25,Sí,Baja,Ajuste frenos
1275,Ajuste frenos,18,No,Alta,Control de calidad
1276,Ajuste frenos,14,No,Media,Ensamblar marco
1277,Control de calidad,10,No,Baja,Ajuste frenos
1278,Pintar,27,Sí,Media,Control de calidad
1279,Control de calidad,31,No,Media,Instalar ruedas
1280,Control de calidad,58,Sí,Alta,Ajuste frenos
1281,Ajuste frenos,29,No,Media,Ajuste frenos
1282,Pintar,28,Sí,Media,Control de calidad
1283,Ensamblar marco,53,No,Alta,Control de calidad
1284,Ajuste frenos,24,No,Media,Pintar
1285,Instalar ruedas,43,No,Media,Instalar ruedas
1286,Control de calidad,39,Sí,Alta,Ensamblar marco
1287,Ensamblar marco,22,No,Alta,Instalar ruedas
1288,Ajuste frenos,47,No,Alta,Control de calidad
1289,Control de calidad,59,Sí,Media,Control de calidad
1290,Ajuste frenos,10,No,Baja,Ensamblar marco
1291,Pintar,32,No,Media,Pintar
1292,Ensamblar marco,52,Sí,Media,Ajuste frenos
1293,Ajuste frenos,27,Sí,Alta,Pintar
1294,Instalar ruedas,47,Sí,Alta,Control de calidad
1295,Ajuste frenos,11,No,Alta,Instalar ruedas
1296,Ensamblar marco,38,No,Media,Ensamblar marco
1297,Instalar ruedas,15,No,Baja,Instalar ruedas
1298,Control de calidad,59,Sí,Alta,Instalar ruedas
1299,Ensamblar marco,39,No,Media,Ensamblar marco
1300,Pintar,25,Sí,Alta,Control de calidad
1301,Ensamblar marco,42,No,Media,Control de calidad
1302,Ajuste frenos,35,Sí,Media,Control de calidad
1303,Ajuste frenos,33,Sí,Media,Instalar ruedas
1304,Ajuste frenos,26,No,Media,Instalar ruedas
1305,Ajuste frenos,27,Sí,Alta,Instalar ruedas
1306,Ensamblar marco,48,Sí,Alta,Instalar ruedas
1307,Pintar,20,Sí,Baja,Control de calidad
1308,Pintar,14,No,Alta,Instalar ruedas
1309,Ajuste frenos,43,No,Alta,Instalar ruedas
1310,Ensamblar marco,50,Sí,Baja,Pintar
1311,Control de calidad,31,Sí,Media,Control de calidad
1312,Instalar ruedas,18,No,Baja,Control de calidad
1313,Ajuste frenos,31,No,Baja,Control de calidad
1314,Ensamblar marco,39,No,Alta,Instalar ruedas
1315,Pintar,28,No,Baja,Control de calidad
1316,Ensamblar marco,44,Sí,Alta,Pintar
1317,Control de calidad,46,Sí,Baja,Ensamblar marco
1318,Ensamblar marco,17,No,Alta,Ensamblar marco
1319,Ajuste frenos,51,Sí,Media,Pintar
1320,Instalar ruedas,25,Sí,Alta,Ensamblar marco
1321,Control de calidad,29,No,Media,Ajuste frenos
1322,Ajuste frenos,58,No,Baja,Ajuste frenos
1323,Pintar,40,No,Media,Ajuste frenos
1324,Ajuste frenos,13,Sí,Media,Instalar ruedas
1325,Instalar ruedas,31,Sí,Alta,Ajuste frenos
1326,Pintar,18,No,Baja,Control de calidad
1327,Pintar,58,No,Media,Ensamblar marco
1328,Pintar,29,No,Alta,Ensamblar marco
1329,Ajuste frenos,54,No,Baja,Control de calidad
1330,Ensamblar marco,23,Sí,Baja,Pintar
1331,Ajuste frenos,55,Sí,Baja,Ensamblar marco
1332,Pintar,58,No,Media,Control de calidad
1333,Instalar ruedas,45,Sí,Alta,Control de calidad
1334,Control de calidad,23,No,Baja,Pintar
1335,Instalar ruedas,50,No,Alta,Pintar
1336,Ajuste frenos,13,No,Media,Control de calidad
1337,Ensamblar marco,29,No,Baja,Ensamblar marco
1338,Instalar ruedas,52,No,Media,Ensamblar marco
1339,Control de calidad,33,No,Baja,Pintar
1340,Pintar,39,No,Baja,Pintar
1341,Ajuste frenos,20,Sí,Media,Control de calidad
1342,Pintar,54,Sí,Alta,Pintar
1343,Control de calidad,17,No,Baja,Instalar ruedas
1344,Ensamblar marco,23,No,Media,Ensamblar marco
1345,Pintar,43,No,Baja,Pintar
1346,Pintar,43,No,Baja,Instalar ruedas
1347,Ensamblar marco,41,Sí,Media,Ajuste frenos
1348,Control de calidad,39,No,Alta,Ensamblar marco
1349,Ensamblar marco,29,No,Alta,Ensamblar marco
1350,Control de calidad,53,No,Baja,Pintar
1351,Pintar,24,No,Alta,Ensamblar marco
1352,Ensamblar marco,12,No,Alta,Ensamblar marco
1353,Ajuste frenos,57,No,Alta,Ensamblar marco
1354,Instalar ruedas,19,Sí,Media,Control de calidad
1355,Ensamblar marco,47,No,Alta,Ajuste frenos
1356,Instalar ruedas,58,Sí,Alta,Control de calidad
1357,Ensamblar marco,45,No,Media,Control de calidad
1358,Ajuste frenos,11,Sí,Media,Control de calidad
1359,Pintar,48,Sí,Alta,Control de calidad
1360,Ajuste frenos,19,No,Alta,Instalar ruedas
1361,Instalar ruedas,22,Sí,Alta,Control de calidad
1362,Ensamblar marco,26,No,Alta,Control de calidad
1363,Control de calidad,27,Sí,Alta,Control de calidad
1364,Ajuste frenos,18,No,Media,Instalar ruedas
1365,Ensamblar marco,47,Sí,Baja,Ensamblar marco
1366,Control de calidad,40,Sí,Media,Control de calidad
1367,Instalar ruedas,52,No,Alta,Instalar ruedas
1368,Ensamblar marco,59,No,Baja,Ajuste frenos
1369,Pintar,53,Sí,Media,Control de calidad
1370,Pintar,30,Sí,Media,Instalar ruedas
1371,Pintar,48,Sí,Media,Pintar
1372,Control de calidad,45,Sí,Alta,Pintar
1373,Instalar ruedas,10,Sí,Baja,Ensamblar marco
1374,Instalar ruedas,33,Sí,Alta,Ajuste frenos
1375,Ensamblar marco,18,No,Alta,Instalar ruedas
1376,Pintar,53,No,Baja,Ajuste frenos
1377,Control de calidad,57,Sí,Alta,Instalar ruedas
1378,Ajuste frenos,40,Sí,Media,Pintar
1379,Control de calidad,37,Sí,Media,Control de calidad
1380,Ajuste frenos,28,Sí,Media,Control de calidad
1381,Ensamblar marco,11,Sí,Baja,Ensamblar marco
1382,Ajuste frenos,30,Sí,Media,Pintar
1383,Pintar,44,No,Alta,Ajuste frenos
1384,Ensamblar marco,43,Sí,Baja,Ensamblar marco
1385,Ajuste frenos,50,No,Alta,Ajuste frenos
1386,Pintar,25,No,Media,Instalar ruedas
1387,Ajuste frenos,37,Sí,Media,Ensamblar marco
1388,Ensamblar marco,11,Sí,Baja,Pintar
1389,Instalar ruedas,47,Sí,Media,Pintar
1390,Control de calidad,11,Sí,Media,Control de calidad
1391,Instalar ruedas,30,No,Baja,Control de calidad
1392,Pintar,39,Sí,Alta,Pintar
1393,Ajuste frenos,34,No,Alta,Control de calidad
1394,Ajuste frenos,37,No,Baja,Instalar ruedas
1395,Instalar ruedas,28,Sí,Baja,Control de calidad
1396,Control de calidad,32,Sí,Baja,Instalar ruedas
1397,Instalar ruedas,20,No,Alta,Pintar
1398,Pintar,33,No,Alta,Pintar
1399,Ajuste frenos,18,No,Baja,Ensamblar marco
1400,Ensamblar marco,10,No,Media,Instalar ruedas
1401,Ajuste frenos,29,No,Alta,Ensamblar marco
1402,Ensamblar marco,35,Sí,Alta,Ensamblar marco
1403,Ajuste frenos,56,No,Baja,Ajuste frenos
1404,Control de calidad,27,Sí,Alta,Pintar
1405,Control de calidad,49,Sí,Baja,Pintar
1406,Ensamblar marco,18,No,Media,Ajuste frenos
1407,Ensamblar marco,50,Sí,Alta,Instalar ruedas
1408,Ajuste frenos,42,Sí,Alta,Control de calidad
1409,Control de calidad,20,Sí,Media,Pintar
1410,Pintar,29,No,Baja,Ajuste frenos
1411,Ensamblar marco,57,No,Baja,Pintar
1412,Ajuste frenos,52,No,Alta,Control de calidad
1413,Ajuste frenos,27,No,Baja,Ajuste frenos
1414,Control de calidad,36,No,Media,Ensamblar marco
1415,Ensamblar marco,26,No,Baja,Ajuste frenos
1416,Pintar,56,No,Media,Ajuste frenos
1417,Instalar ruedas,36,Sí,Alta,Ensamblar marco
1418,Pintar,40,Sí,Alta,Ajuste frenos
1419,Control de calidad,36,No,Media,Ajuste frenos
1420,Control de calidad,27,Sí,Alta,Control de calidad
1421,Instalar ruedas,24,Sí,Media,Instalar ruedas
1422,Ensamblar marco,39,No,Baja,Ajuste frenos
1423,Ajuste frenos,47,No,Baja,Ensamblar marco
1424,Pintar,15,No,Alta,Control de calidad
1425,Ensamblar marco,33,Sí,Media,Ajuste frenos
1426,Control de calidad,31,No,Media,Control de calidad
1427,Ensamblar marco,53,Sí,Alta,Ajuste frenos
1428,Ensamblar marco,33,Sí,Alta,Ajuste frenos
1429,Control de calidad,14,Sí,Alta,Ajuste frenos
1430,Ensamblar marco,59,Sí,Media,Ensamblar marco
1431,Pintar,42,Sí,Baja,Control de calidad
1432,Instalar ruedas,16,No,Media,Pintar
1433,Pintar,45,No,Baja,Ajuste frenos
1434,Pintar,58,Sí,Alta,Ajuste frenos
1435,Pintar,14,No,Media,Pintar
1436,Pintar,12,No,Alta,Control de calidad
1437,Instalar ruedas,38,No,Alta,Pintar
1438,Pintar,13,Sí,Alta,Ensamblar marco
1439,Control de calidad,35,Sí,Media,Ajuste frenos
1440,Ajuste frenos,12,Sí,Alta,Instalar ruedas
1441,Pintar,42,No,Media,Ensamblar marco
1442,Instalar ruedas,12,Sí,Media,Instalar ruedas
1443,Pintar,34,No,Media,Ajuste frenos
1444,Ajuste frenos,21,No,Alta,Control de calidad
1445,Ensamblar marco,33,No,Alta,Ajuste frenos
1446,Instalar ruedas,34,No,Baja,Instalar ruedas
1447,Instalar ruedas,43,Sí,Media,Pintar
1448,Pintar,44,No,Media,Ajuste frenos
1449,Ajuste frenos,14,No,Alta,Ajuste frenos
1450,Instalar ruedas,50,No,Media,Ensamblar marco
1451,Pintar,25,No,Baja,Instalar ruedas
1452,Instalar ruedas,22,Sí,Alta,Ajuste frenos
1453,Instalar ruedas,28,Sí,Alta,Ajuste frenos
1454,Ajuste frenos,21,No,Baja,Instalar ruedas
1455,Control de calidad,58,Sí,Media,Ajuste frenos
1456,Ajuste frenos,51,Sí,Alta,Ensamblar marco
1457,Pintar,17,No,Alta,Pintar
1458,Control de calidad,53,No,Baja,Instalar ruedas
1459,Ajuste frenos,49,Sí,Alta,Control de calidad
1460,Instalar ruedas,43,Sí,Alta,Instalar ruedas
1461,Pintar,14,Sí,Baja,Instalar ruedas
1462,Ajuste frenos,42,No,Baja,Ensamblar marco
1463,Instalar ruedas,55,Sí,Alta,Ensamblar marco
1464,Pintar,40,Sí,Alta,Ensamblar marco
1465,Instalar ruedas,21,No,Baja,Pintar
1466,Instalar ruedas,46,Sí,Media,Instalar ruedas
1467,Ajuste frenos,52,No,Media,Instalar ruedas
1468,Ensamblar marco,18,No,Baja,Control de calidad
1469,Ensamblar marco,19,Sí,Baja,Control de calidad
1470,Pintar,11,No,Baja,Instalar ruedas
1471,Ensamblar marco,35,Sí,Alta,Control de calidad
1472,Ajuste frenos,27,No,Alta,Pintar
1473,Control de calidad,26,No,Baja,Ensamblar marco
1474,Ajuste frenos,27,No,Alta,Instalar ruedas
1475,Ajuste frenos,27,No,Baja,Ensamblar marco
1476,Ajuste frenos,35,No,Alta,Pintar
1477,Control de calidad,39,Sí,Baja,Ajuste frenos
1478,Ajuste frenos,35,No,Media,Instalar ruedas
1479,Instalar ruedas,35,No,Media,Ajuste frenos
1480,Ajuste frenos,15,No,Alta,Instalar ruedas
1481,Pintar,59,Sí,Baja,Pintar
1482,Instalar ruedas,18,No,Baja,Ensamblar marco
1483,Pintar,41,No,Media,Ensamblar marco
1484,Instalar ruedas,21,Sí,Media,Instalar ruedas
1485,Ensamblar marco,39,No,Media,Ensamblar marco
1486,Ensamblar marco,44,Sí,Baja,Pintar
1487,Ajuste frenos,56,Sí,Alta,Pintar
1488,Pintar,22,No,Alta,Ajuste frenos
1489,Control de calidad,22,Sí,Baja,Instalar ruedas
1490,Pintar,56,Sí,Media,Ensamblar marco
1491,Ensamblar marco,30,No,Media,Ajuste frenos
1492,Ensamblar marco,32,Sí,Media,Ensamblar marco
1493,Ensamblar marco,18,No,Media,Pintar
1494,Pintar,50,Sí,Baja,Control de calidad
1495,Control de calidad,11,Sí,Alta,Instalar ruedas
1496,Control de calidad,27,No,Media,Instalar ruedas
1497,Ajuste frenos,58,Sí,Baja,Ensamblar marco
1498,Ajuste frenos,28,No,Baja,Ensamblar marco
1499,Instalar ruedas,20,No,Alta,Control de calidad
1500,Control de calidad,51,No,Baja,Ensamblar marco
1501,Instalar ruedas,21,Sí,Alta,Instalar ruedas
1502,Pintar,29,Sí,Media,Pintar
1503,Ajuste frenos,59,Sí,Media,Control de calidad
1504,Ensamblar marco,47,Sí,Media,Ajuste frenos
1505,Pintar,47,Sí,Media,Instalar ruedas
1506,Ensamblar marco,43,No,Baja,Ajuste frenos
1507,Ajuste frenos,12,No,Baja,Ajuste frenos
1508,Control de calidad,11,Sí,Alta,Ensamblar marco
1509,Instalar ruedas,19,Sí,Baja,Instalar ruedas
1510,Instalar ruedas,59,Sí,Baja,Pintar
1511,Pintar,10,Sí,Baja,Control de calidad
1512,Ensamblar marco,34,Sí,Alta,Instalar ruedas
1513,Ensamblar marco,18,No,Alta,Instalar ruedas
1514,Control de calidad,17,Sí,Baja,Instalar ruedas
1515,Ajuste frenos,11,No,Alta,Ensamblar marco
1516,Control de calidad,47,Sí,Media,Control de calidad
1517,Ajuste frenos,46,Sí,Baja,Ensamblar marco
1518,Instalar ruedas,34,No,Baja,Ajuste frenos
1519,Ensamblar marco,59,No,Baja,Ajuste frenos
1520,Control de calidad,37,Sí,Baja,Control de calidad
1521,Ensamblar marco,12,No,Baja,Ajuste frenos
1522,Pintar,36,Sí,Media,Instalar ruedas
1523,Ensamblar marco,56,No,Media,Control de calidad
1524,Ajuste frenos,36,Sí,Baja,Ajuste frenos
1525,Pintar,32,Sí,Media,Instalar ruedas
1526,Instalar ruedas,44,No,Alta,Pintar
1527,Ajuste frenos,37,Sí,Media,Ensamblar marco
1528,Control de calidad,30,Sí,Alta,Control de calidad
1529,Pintar,17,No,Baja,Instalar ruedas
1530,Control de calidad,40,No,Alta,Ensamblar marco
1531,Ajuste frenos,16,No,Media,Ajuste frenos
1532,Ensamblar marco,16,Sí,Baja,Pintar
1533,Ajuste frenos,39,No,Alta,Ensamblar marco
1534,Pintar,59,Sí,Media,Instalar ruedas
1535,Instalar ruedas,24,No,Alta,Ajuste frenos
1536,Control de calidad,32,No,Media,Instalar ruedas
1537,Control de calidad,23,No,Alta,Control de calidad
1538,Instalar ruedas,27,Sí,Baja,Ajuste frenos
1539,Ensamblar marco,58,No,Alta,Ensamblar marco
1540,Control de calidad,50,No,Media,Pintar
1541,Ajuste frenos,40,No,Alta,Instalar ruedas
1542,Ajuste frenos,26,No,Baja,Ajuste frenos
1543,Control de calidad,52,No,Alta,Ajuste frenos
1544,Pintar,53,No,Alta,Ensamblar marco
1545,Control de calidad,33,Sí,Media,Control de calidad
1546,Instalar ruedas,30,No,Baja,Ajuste frenos
1547,Control de calidad,35,Sí,Alta,Ajuste frenos
1548,Pintar,31,No,Baja,Pintar
1549,Ajuste frenos,10,Sí,Baja,Pintar
1550,Pintar,12,Sí,Media,Control de calidad
1551,Ajuste frenos,55,No,Media,Ajuste frenos
1552,Ensamblar marco,12,No,Media,Control de calidad
1553,Pintar,32,Sí,Media,Control de calidad
1554,Ajuste frenos,26,No,Baja,Instalar ruedas
1555,Instalar ruedas,17,Sí,Alta,Instalar ruedas
1556,Ensamblar marco,14,No,Media,Control de calidad
1557,Control de calidad,59,Sí,Alta,Ajuste frenos
1558,Ajuste frenos,43,No,Media,Control de calidad
1559,Instalar ruedas,16,Sí,Media,Control de calidad
1560,Instalar ruedas,46,Sí,Baja,Ajuste frenos
1561,Instalar ruedas,24,Sí,Alta,Control de calidad
1562,Ajuste frenos,59,No,Baja,Pintar
1563,Pintar,16,Sí,Baja,Ensamblar marco
1564,Instalar ruedas,25,No,Baja,Instalar ruedas
1565,Control de calidad,33,Sí,Alta,Instalar ruedas
1566,Control de calidad,17,Sí,Media,Ensamblar marco
1567,Ajuste frenos,24,No,Alta,Control de calidad
1568,Pintar,19,Sí,Media,Pintar
1569,Ensamblar marco,46,Sí,Media,Control de calidad
1570,Pintar,30,No,Baja,Ensamblar marco
